,latitude,longitude,year,period,taxon,doy,state,all_species_dist,interval,inat,springtemp.x,springtemp.y,springsd2,springsd1,1,2,3,4,5,6,slope1,slope2
1,32.0808989,-81.091203,1856,past,acer_rubrum,3,flowering,15394,0,0,18.33313179,13.07049209,4.620983519,5.655790603,7.951732635,11.32096505,14.13701594,18.87225473,22.25918502,25.07623577,3.519211839,3.557761717
2,31.6321148,-91.8109604,1857,past,acer_rubrum,32,flowering,222008,0,0,17.30368996,11.34985134,4.617829027,5.223627386,4.468351841,14.27025032,12.9810375,13.6797657,20.81318629,24.77420938,3.481623537,2.634502876
3,31.6321148,-91.8109604,1858,past,acer_rubrum,32,flowering,222008,0,0,18.31142998,13.82400325,4.35107447,6.356903129,11.75663137,8.722647667,16.77497721,18.04175675,22.92703968,25.09072638,3.158583731,2.690770566
4,32.7045753,-87.5958396,1858,past,acer_rubrum,35,flowering,274730,0,0,17.1618824,12.39128854,4.319672127,6.855474646,10.72986865,7.429055214,13.87852818,17.52770212,22.40722346,24.56690526,3.364824621,2.684297338
5,34.9011886,-84.9738349,1859,past,acer_rubrum,36,flowering,505725,0,0,15.35928345,8.970635504,4.844047281,7.114020201,3.802544236,6.379738808,10.99654889,14.70371008,20.87974417,23.83667667,4.210795413,3.732030761
6,34.7782118,-79.7917286,1855,past,acer_rubrum,39,flowering,159446,0,0,15.43852139,9.532560617,6.051555309,8.417118185,6.557514787,3.824475765,9.954147935,17.79410398,21.36032513,24.25955179,4.255933976,3.983943975
7,32.7045753,-87.5958396,1857,past,acer_rubrum,40,flowering,274730,0,0,16.40888405,10.20937255,4.964063887,5.414106733,2.874641418,13.4239893,11.46132147,13.07753801,19.88119388,24.20038152,3.646186594,2.864602196
8,33.1023454,-84.3426997,1857,past,acer_rubrum,50,flowering,323429,0,0,14.91338062,8.303413987,4.910781792,6.132374649,1.169751644,10.75910997,9.144721031,12.1400733,18.85316181,23.66983926,3.993655596,3.129657602
9,33.2781686,-86.3549774,1857,past,acer_rubrum,51,flowering,313007,0,0,14.8621521,8.34246546,4.860578036,6.033764352,1.251975536,11.195647,9.141541481,11.78069782,18.62372065,23.56915188,3.900264542,2.953206134
10,33.4956744,-88.4272627,1857,past,acer_rubrum,51,flowering,339355,0,0,15.62670231,9.01729852,5.29551933,5.779659588,1.14562273,12.16594219,10.6382668,12.11936235,19.05784035,24.15209782,3.919690442,3.139354348
11,32.8406848,-87.8875145,1852,past,acer_rubrum,52,flowering,270026,0,0,17.36184311,10.65407225,6.125710414,5.770598355,2.171282768,10.17527032,14.79504812,15.47468781,21.83087137,24.53334141,4.213049601,4.452999294
12,33.4956744,-88.4272627,1858,past,acer_rubrum,52,flowering,339355,0,0,16.33400726,11.44054988,4.62834416,7.260419009,9.973459721,5.77198863,13.50487828,16.51187289,21.53219409,24.34910214,3.490452088,2.734812915
13,35.7595731,-79.0192997,1857,past,acer_rubrum,53,flowering,194313,0,0,13.33190346,5.75412339,5.566370625,7.128046096,-2.267943382,9.773980141,6.266638517,9.243818283,17.88253307,23.49254848,4.460151368,3.102794337
14,32.0870889,-87.0341526,1857,past,acer_rubrum,54,flowering,198145,0,0,16.80523109,10.85773686,4.893684448,5.146786097,3.658178329,14.11224556,11.92547905,13.73504448,20.02532482,24.22806263,3.497092135,2.804383194
15,35.9606384,-83.9207392,1852,past,acer_rubrum,55,flowering,499783,0,0,13.51169586,6.482442349,6.013283675,6.883025043,-1.009355783,4.405192494,10.20550609,12.3284266,19.35583615,21.2635175,4.523977654,4.581366074
16,33.2757006,-82.9762589,1858,past,acer_rubrum,56,flowering,239839,0,0,16.33751869,11.23418628,4.461674878,7.359247074,9.551421881,6.65599215,11.50737053,17.22196057,21.42794263,24.87432894,3.618427908,2.786299446
17,34.7782118,-79.7917286,1856,past,acer_rubrum,57,flowering,159446,0,0,15.99244785,7.746298701,7.490574246,9.287843314,0.074353218,4.965041637,8.120207548,17.8255924,22.02699113,27.0244081,5.589757364,5.640888345
18,33.2757006,-82.9762589,1857,past,acer_rubrum,59,flowering,239839,0,0,15.13357449,8.348926127,4.873132995,6.406961792,1.304978848,10.76122522,9.071041822,12.25845861,19.39268339,24.1844638,4.099406173,3.11702559
19,35.9131996,-79.0558445,1853,past,acer_rubrum,62,flowering,211244,0,0,15.5318222,8.477487653,4.94992582,6.973795332,2.638730764,6.929753423,9.964083254,14.37738317,18.89154524,24.41013575,4.261591436,3.825028706
20,33.2757006,-82.9762589,1856,past,acer_rubrum,63,flowering,239839,0,0,15.93427086,8.649591029,6.896906786,8.245761716,1.411804676,5.815451145,9.713009596,17.6580987,19.99534643,26.48945081,5.024943018,5.263644052
21,31.6321148,-91.8109604,1857,past,acer_rubrum,64,foliage,222008,0,0,17.30368996,11.34985134,4.617829027,5.223627386,4.468351841,14.27025032,12.9810375,13.6797657,20.81318629,24.77420938,3.481623537,2.634502876
22,34.2465393,-80.6070237,1852,past,acer_rubrum,67,flowering,166680,0,0,16.91627884,10.01249576,5.107567016,6.661527631,3.158666372,9.101909399,13.49815488,14.29125237,22.88335419,24.80672295,4.296506135,3.779400349
23,32.7045753,-87.5958396,1856,past,acer_rubrum,70,flowering,274730,0,0,17.1094532,9.490505695,7.573695683,8.040490046,1.007469654,6.578230858,11.53352034,18.84280193,22.02780223,26.56490636,5.184147978,5.846128631
24,33.5604168,-81.7195533,1856,past,acer_rubrum,70,flowering,180890,0,0,16.63391113,9.17056042,7.227568971,8.477085099,1.821018696,6.265424252,9.732898235,18.8629005,21.48605857,26.82227015,5.137090357,5.459311938
25,33.4956744,-88.4272627,1858,past,acer_rubrum,73,foliage,339355,0,0,16.33400726,11.44054988,4.62834416,7.260419009,9.973459721,5.77198863,13.50487828,16.51187289,21.53219409,24.34910214,3.490452088,2.734812915
26,34.3659868,-89.5188246,1856,past,acer_rubrum,74,flowering,446193,0,0,15.23373795,6.381076306,8.309720508,9.940157778,-2.122211456,3.205006123,6.90298605,17.53852451,21.72760165,26.79456937,6.022492262,6.268018782
27,33.5604168,-81.7195533,1853,past,acer_rubrum,77,flowering,180890,0,0,17.45598602,11.66685939,5.098368536,6.40513459,6.04320395,9.424069762,13.32148582,17.87867802,21.47746215,25.59111857,3.955912643,3.940383828
28,31.6321148,-91.8109604,1858,past,acer_rubrum,79,foliage,222008,0,0,18.31142998,13.82400325,4.35107447,6.356903129,11.75663137,8.722647667,16.77497721,18.04175675,22.92703968,25.09072638,3.158583731,2.690770566
29,32.0810429,-89.1705998,1856,past,acer_rubrum,80,foliage,199076,0,0,17.02875137,9.197068579,7.368110462,8.241734653,0.891240597,6.495379686,11.09537697,18.30627707,22.55459243,26.69213164,5.268371244,5.684510669
30,32.7045753,-87.5958396,1857,past,acer_rubrum,80,foliage,274730,0,0,16.40888405,10.20937255,4.964063887,5.414106733,2.874641418,13.4239893,11.46132147,13.07753801,19.88119388,24.20038152,3.646186594,2.864602196
31,32.7045753,-87.5958396,1858,past,acer_rubrum,81,foliage,274730,0,0,17.1618824,12.39128854,4.319672127,6.855474646,10.72986865,7.429055214,13.87852818,17.52770212,22.40722346,24.56690526,3.364824621,2.684297338
32,33.346,-79.2167,1855,past,acer_rubrum,82,flowering,15989,0,0,17.69200706,13.89109462,2.824073421,5.515685957,13.16979814,10.93784857,13.7367447,17.71998706,21.73253892,24.33292028,2.633797833,1.64494629
33,34.2465393,-80.6070237,1856,past,acer_rubrum,83,flowering,166680,0,0,17.01758575,8.925413102,7.344478,9.25232612,1.61536932,6.270559192,8.824089289,18.99163461,23.05513382,27.94650769,5.490770316,5.468232596
34,32.0810429,-89.1705998,1855,past,acer_rubrum,85,foliage,199076,0,0,17.40542221,11.94288844,5.639309028,7.590283251,8.842143774,6.67615819,12.73214245,19.52110934,23.43788171,24.6598174,3.890357302,3.809288096
35,32.0810429,-89.1705998,1856,past,acer_rubrum,86,flowering,199076,0,0,17.02875137,9.197068579,7.368110462,8.241734653,0.891240597,6.495379686,11.09537697,18.30627707,22.55459243,26.69213164,5.268371244,5.684510669
36,33.376834,-79.2944964,1856,past,acer_rubrum,88,flowering,15989,0,0,17.27104759,12.27265797,4.339959094,5.431779437,7.519852877,11.0614714,12.54679418,17.96251342,20.94164348,23.84281337,3.333458227,3.281330439
37,33.2757006,-82.9762589,1857,past,acer_rubrum,90,foliage,239839,0,0,15.13357449,8.348926127,4.873132995,6.406961792,1.304978848,10.76122522,9.071041822,12.25845861,19.39268339,24.1844638,4.099406173,3.11702559
38,32.0808989,-81.091203,1856,past,acer_rubrum,91,foliage,15394,0,0,18.33313179,13.07049209,4.620983519,5.655790603,7.951732635,11.32096505,14.13701594,18.87225473,22.25918502,25.07623577,3.519211839,3.557761717
39,35.9131996,-79.0558445,1858,past,acer_rubrum,91,flowering,211244,0,0,14.05421257,8.206188515,5.049997461,8.545314397,6.575077772,2.781313896,8.609747529,14.85861486,19.99687666,24.02450991,4.146934751,3.06790449
40,35.9131996,-79.0558445,1853,past,acer_rubrum,92,foliage,211244,0,0,15.5318222,8.477487653,4.94992582,6.973795332,2.638730764,6.929753423,9.964083254,14.37738317,18.89154524,24.41013575,4.261591436,3.825028706
41,32.7045753,-87.5958396,1856,past,acer_rubrum,95,foliage,274730,0,0,17.1094532,9.490505695,7.573695683,8.040490046,1.007469654,6.578230858,11.53352034,18.84280193,22.02780223,26.56490636,5.184147978,5.846128631
42,35.040047,-88.051514,1856,past,acer_rubrum,99,flowering,512617,0,0,14.30554581,5.40382871,8.70122208,10.22306134,-3.069559336,1.528011084,5.918833971,17.23802912,21.22557092,25.61728299,6.109888179,6.531358826
43,35.7595731,-79.0192997,1857,past,acer_saccharinum,51,flowering,194313,0,0,13.33190346,5.75412339,5.566370625,7.128046096,-2.267943382,9.773980141,6.266638517,9.243818283,17.88253307,23.49254848,4.460151368,3.102794337
44,33.315643,-86.18768,1852,past,acer_saccharinum,75,foliage,314133,0,0,15.84089565,9.030412197,5.754644235,6.202812287,1.221387863,8.19956696,12.93025601,13.77043796,20.90949392,23.39472318,4.28104684,4.237783933
