"longitude","latitude","id_cells","period","sampling_effort","periods"
-92.0471199,42.6391512,1470,"past",2,1
-91.9636914,41.0076114,1341,"past",9,1
-91.8590602,41.1472398,1341,"past",43,1
-91.8109604,31.6321148,525,"past",14,1
-91.505867,41.503468,1385,"present",1,2
-91.4345978,40.359211,1299,"past",34,1
-91.3584816,39.7083789,1213,"past",11,1
-91.314535,40.6297634,1299,"past",14,1
-91.229,31.9891697,569,"past",1,1
-91.048721,40.709389,1300,"present",2,2
-91.0432051,41.424473,1386,"past",11,1
-91.0432,41.4245,1386,"past",33,1
-90.9501,40.23,1300,"past",71,1
-90.79514,41.44202,1386,"present",2,2
-90.7638,41.387,1386,"past",1,1
-90.763753,41.3869765,1386,"past",5,1
-90.6677347,42.506348,1472,"past",2,1
-90.498421,38.762318,1172,"present",4,2
-90.48497,42.7338099999999,1515,"present",2,2
-90.40242,41.5567739999999,1387,"present",2,2
-90.347107,38.654652,1129,"present",4,2
-90.320282,38.656681,1129,"present",1,2
-90.305168,38.699291,1129,"present",1,2
-90.304901,38.699406,1129,"present",1,2
-90.258934,38.613323,1129,"present",9,2
-90.1406643,39.0397688,1172,"past",25,1
-89.944405,38.804558,1173,"present",5,2
-89.733604,43.4300799999999,1559,"present",1,2
-89.724,39.9609,1259,"past",2,1
-89.7239944,39.9608826,1259,"past",35,1
-89.6407,40.5675,1302,"past",15,1
-89.589,40.6936,1345,"past",8,1
-89.5188246,34.3659868,787,"past",2,1
-89.51687,40.89129,1345,"present",2,2
-89.444275,39.742039,1259,"present",1,2
-89.432106,43.069355,1517,"present",2,2
-89.42589,41.8717,1431,"present",3,2
-89.41909,40.704418,1345,"present",1,2
-89.418594,43.060757,1517,"present",2,2
-89.4007501,43.0721661,1517,"past",2,1
-89.390518,43.1353570000001,1560,"present",2,2
-89.37944,42.36227,1474,"present",6,2
-89.376808,43.128082,1560,"present",1,2
-89.33233,42.85313,1517,"present",21,2
-89.28454,43.34434,1560,"present",11,2
-89.2412,42.2661,1474,"past",7,1
-89.1705998,32.0810429,573,"past",14,1
-89.1231,40.2389,1303,"past",13,1
-89.053299,42.353607,1474,"present",1,2
-88.958,39.87689,1260,"present",1,2
-88.939835,40.49676,1303,"present",2,2
-88.90964,40.36644,1303,"present",2,2
-88.8788344,33.4257231,702,"past",1,1
-88.81089,41.34596,1389,"present",5,2
-88.793625,40.328484,1303,"present",2,2
-88.787453,33.455647,702,"present",1,2
-88.76048,41.836,1432,"present",7,2
-88.70937,42.3263,1475,"present",8,2
-88.705278,41.5633,1389,"past",9,1
-88.705278,41.563333,1389,"past",1,1
-88.65752,42.81688,1518,"present",8,2
-88.6326,42.1914,1475,"past",6,1
-88.6084,42.2486,1475,"past",20,1
-88.523857,44.042103,1604,"present",2,2
-88.503304,42.011166,1432,"present",15,2
-88.5033,42.011166,1432,"present",2,2
-88.49748,44.29083,1647,"present",3,2
-88.4272627,33.4956744,703,"past",12,1
-88.41171,44.261673,1647,"present",1,2
-88.40762,42.168606,1475,"present",1,2
-88.398506,42.162609,1475,"present",2,2
-88.3970689,44.2876255,1647,"past",1,1
-88.378372,42.187634,1476,"present",1,2
-88.373291,43.303638,1561,"present",1,2
-88.35968,42.162563,1476,"present",1,2
-88.3126,41.85,1433,"past",1,1
-88.3125738,41.8500284,1433,"past",11,1
-88.31176,41.89381,1433,"present",1,2
-88.255875,41.723499,1433,"present",9,2
-88.19743,41.9757960000001,1433,"present",2,2
-88.157272,41.695396,1433,"present",3,2
-88.148657,42.7903632,1519,"past",1,1
-88.09579,41.79688,1433,"present",33,2
-88.083588,41.746822,1433,"present",2,2
-88.077599,43.138775,1562,"present",1,2
-88.070885,41.814449,1433,"present",2,2
-88.0701,41.814323,1433,"present",1,2
-88.070099,41.814323,1433,"present",8,2
-88.06882,41.813972,1433,"present",1,2
-88.068817,41.813972,1433,"present",6,2
-88.059639,41.872128,1433,"present",2,2
-88.053925,42.183475,1476,"present",2,2
-88.051514,35.040047,832,"past",1,1
-88.050934,41.81856,1433,"present",2,2
-88.050934,41.818562,1433,"present",5,2
-88.050323,41.814045,1433,"present",8,2
-88.04665,41.8523519999999,1433,"present",2,2
-88.024521,41.799072,1433,"present",6,2
-88.02028,42.292313,1476,"present",2,2
-88.0126,42.9614,1519,"past",1,1
-88.0048,38.52088,1133,"past",1,1
-88.0047565,38.5208828,1133,"past",20,1
-87.9842,42.098087,1476,"present",1,2
-87.955826,42.25259,1476,"present",13,2
-87.934349,41.784023,1433,"present",1,2
-87.91812,41.630646,1433,"present",2,2
-87.903984,42.104259,1476,"present",1,2
-87.901588,41.7943730000001,1433,"present",2,2
-87.895683,43.072197,1562,"present",1,2
-87.892998,43.097801,1562,"present",26,2
-87.8875145,32.8406848,661,"past",1,1
-87.8875,32.8407,661,"past",9,1
-87.8697,42.103,1476,"past",9,1
-87.806023,32.542336,618,"present",2,2
-87.80602,32.542336,618,"present",2,2
-87.803902,32.542931,618,"present",5,2
-87.798981,41.869896,1433,"present",5,2
-87.798943,41.871277,1433,"present",1,2
-87.794022,41.892685,1433,"present",4,2
-87.789696,42.148972,1476,"present",2,2
-87.725632,41.696354,1434,"present",1,2
-87.70526,41.95112,1434,"present",2,2
